"Id","Label","type"
"梁公任(1945)","梁公任","author"
"杨明(1945)","杨明","author"
"严景曜(1945)","严景曜","author"
"昭抡(1945)","昭抡","author"
"柳宗元(1945)","柳宗元","author"
"秦柳方(1945)","秦柳方","author"
"齐纬(1945)","齐纬","author"
"光军(1945)","光军","author"
"光年(1945)","光年","author"
"曹刚(1945)","曹刚","author"
"罗西(1945)","罗西","author"
"罗隆基(1945)","罗隆基","author"
"陶行知(1945)","陶行知","author"
"俞颂华(1945)","俞颂华","author"
"冬予里(1945)","冬予里","author"
"努生(1945)","努生","author"
"孙宝毅(1945)","孙宝毅","author"
"平心(1945)","平心","author"
"愚公(1945)","愚公","author"
"景宋(1945)","景宋","author"
"曹聚仁(1945)","曹聚仁","author"
"柳亚子(1945)","柳亚子","author"
"石啸冲(1945)","石啸冲","author"
"祝世康(1945)","祝世康","author"
"程澄之(1945)","程澄之","author"
"肥遯(1945)","肥遯","author"
"胡毅(1945)","胡毅","author"
"董秋斯(1945)","董秋斯","author"
"问梁(1945)","问梁","author"
"陈曦(1945)","陈曦","author"
"马寅初(1945)","马寅初","author"
"黄巨兴(1945)","黄巨兴","author"
"黄炎培(1945)","黄炎培","author"
"万影(1945)","万影","author"
"严景耀(1945)","严景耀","author"
"严问天(1945)","严问天","author"
"丰子恺(1945)","丰子恺","author"
"但维斯(1945)","但维斯","author"
"光未然(1945)","光未然","author"
"农慕之(1945)","农慕之","author"
"冯玉祥(1945)","冯玉祥","author"
"卢蕻(1945)","卢蕻","author"
"叔梁(1945)","叔梁","author"
"吴晗(1945)","吴晗","author"
"周建人(1945)","周建人","author"
"周谷城(1945)","周谷城","author"
"夏孟辉(1945)","夏孟辉","author"
"孟南(1945)","孟南","author"
"宾符(1945)","宾符","author"
"尊闻(1945)","尊闻","author"
"小鱼(1945)","小鱼","author"
"屠西(1945)","屠西","author"
"左拉(1945)","左拉","author"
"引流(1945)","引流","author"
"张一凡(1945)","张一凡","author"
"张君劢(1945)","张君劢","author"
"张申府(1945)","张申府","author"
"张礼千(1945)","张礼千","author"
"徐植(1945)","徐植","author"
"徐相任(1945)","徐相任","author"
"思慕(1945)","思慕","author"
"慕英(1945)","慕英","author"
"戚陈德珍(1945)","戚陈德珍","author"
"拾风(1945)","拾风","author"
"施艾(1945)","施艾","author"
"施贻(1945)","施贻","author"
"曾守约(1945)","曾守约","author"
"曾琦(1945)","曾琦","author"
"李战林(1945)","李战林","author"
"柳诒(1945)","柳诒","author"
"沈志远(1945)","沈志远","author"
"潘大逵(1945)","潘大逵","author"
"澹庐(1945)","澹庐","author"
"灕流(1945)","灕流","author"
"燕士(1945)","燕士","author"
"王以中(1945)","王以中","author"
"王伯祥(1945)","王伯祥","author"
"王立果(1945)","王立果","author"
"田禾(1945)","田禾","author"
"申迟(1945)","申迟","author"
"箫明(1945)","箫明","author"
"罗守信(1945)","罗守信","author"
"罗涵先(1945)","罗涵先","author"
"胡剑(1945)","胡剑","author"
"胡曲园(1945)","胡曲园","author"
"胡钊(1945)","胡钊","author"
"艾秋飙(1945)","艾秋飙","author"
"苏尔齐伯格(1945)","苏尔齐伯格","author"
"范华农(1945)","范华农","author"
"茅盾(1945)","茅盾","author"
"谈兵(1945)","谈兵","author"
"费孝通(1945)","费孝通","author"
"费稳(1945)","费稳","author"
"邓初民(1945)","邓初民","author"
"郑初民(1945)","郑初民","author"
"郑振铎(1945)","郑振铎","author"
"郑森禹(1945)","郑森禹","author"
"郭沫若(1945)","郭沫若","author"
"阿特里(1945)","阿特里","author"
"陈康成(1945)","陈康成","author"
"陈正飞(1945)","陈正飞","author"
"陈辛(1945)","陈辛","author"
"陈鼎龢(1945)","陈鼎龢","author"
"陶大镛(1945)","陶大镛","author"
"顾均正(1945)","顾均正","author"
"马丁(1945)","马丁","author"
"马星野(1945)","马星野","author"
"高扬(1945)","高扬","author"
"黄大能(1945)","黄大能","author"
"黄裳(1945)","黄裳","author"
"黎平(1945)","黎平","author"
"黎舫(1945)","黎舫","author"
"Bercovici，K.(1945)","Bercovici，K.","author"
"Clark，B.(1945)","Clark，B.","author"
"F._Geyrasi(1945)","F._Geyrasi","author"
