Id,Label,timeset,type,color
左拉(1945),左拉,,author,"#B4B4B4"
《周报(上海1945)》,《周报(上海1945)》,,journal,"#00EB00"
黄炎培(1945),黄炎培,,author,"#B4B4B4"
《国讯》,《国讯》,,journal,"#00EB00"
努生(1945),努生,,author,"#B4B4B4"
《民主周刊(昆明)》,《民主周刊(昆明)》,,journal,"#00EB00"
郑振铎(1945),郑振铎,,author,"#B4B4B4"
昭抡(1945),昭抡,,author,"#B4B4B4"
俞颂华(1945),俞颂华,,author,"#B4B4B4"
丰子恺(1945),丰子恺,,author,"#B4B4B4"
陶行知(1945),陶行知,,author,"#B4B4B4"
《民主(重庆)》,《民主(重庆)》,,journal,"#00EB00"
梁公任(1945),梁公任,,author,"#B4B4B4"
景宋(1945),景宋,,author,"#B4B4B4"
《民主(上海)》,《民主(上海)》,,journal,"#00EB00"
蒲岗(1945),蒲岗,,author,"#B4B4B4"
尊闻(1945),尊闻,,author,"#B4B4B4"
秦柳方(1945),秦柳方,,author,"#B4B4B4"
周建人(1945),周建人,,author,"#B4B4B4"
平心(1945),平心,,author,"#B4B4B4"
董秋斯(1945),董秋斯,,author,"#B4B4B4"
引流(1945),引流,,author,"#B4B4B4"
石啸冲(1945),石啸冲,,author,"#B4B4B4"
《再生》,《再生》,,journal,"#00EB00"
孟南(1945),孟南,,author,"#B4B4B4"
杨明(1945),杨明,,author,"#B4B4B4"
罗隆基(1945),罗隆基,,author,"#B4B4B4"
费孝通(1945),费孝通,,author,"#B4B4B4"
马叙伦(1945),马叙伦,,author,"#B4B4B4"
吴晗(1945),吴晗,,author,"#B4B4B4"
小鱼(1945),小鱼,,author,"#B4B4B4"
思慕(1945),思慕,,author,"#B4B4B4"
曹聚仁(1945),曹聚仁,,author,"#B4B4B4"
杨卫玉(1945),杨卫玉,,author,"#B4B4B4"
柳宗元(1945),柳宗元,,author,"#B4B4B4"
珂田(1945),珂田,,author,"#B4B4B4"
翦伯赞(1945),翦伯赞,,author,"#B4B4B4"
《中华论坛》,《中华论坛》,,journal,"#00EB00"
胡曲园(1945),胡曲园,,author,"#B4B4B4"
齐纬(1945),齐纬,,author,"#B4B4B4"
严延(1945),严延,,author,"#B4B4B4"
光未然(1945),光未然,,author,"#B4B4B4"
克士(1945),克士,,author,"#B4B4B4"
君山(1945),君山,,author,"#B4B4B4"
张一凡(1945),张一凡,,author,"#B4B4B4"
张礼千(1945),张礼千,,author,"#B4B4B4"
澹庐(1945),澹庐,,author,"#B4B4B4"
王立果(1945),王立果,,author,"#B4B4B4"
百辞(1945),百辞,,author,"#B4B4B4"
章伯钧(1945),章伯钧,,author,"#B4B4B4"
索非(1945),索非,,author,"#B4B4B4"
罗稷南(1945),罗稷南,,author,"#B4B4B4"
罗西(1945),罗西,,author,"#B4B4B4"
翁逸之(1945),翁逸之,,author,"#B4B4B4"
胡钊(1945),胡钊,,author,"#B4B4B4"
茅盾(1945),茅盾,,author,"#B4B4B4"
许若明(1945),许若明,,author,"#B4B4B4"
邵翰齐(1945),邵翰齐,,author,"#B4B4B4"
陈正飞(1945),陈正飞,,author,"#B4B4B4"
陶大镛(1945),陶大镛,,author,"#B4B4B4"
丁聪(1945),丁聪,,author,"#B4B4B4"
严景耀(1945),严景耀,,author,"#B4B4B4"
周新民(1945),周新民,,author,"#B4B4B4"
